RA Dec redshift phot_index luminosity nh_values
212.97609487093 53.188707054611 0.5258 1.87869 6.6755163940868965e+43 20.24915
173.13909846975 27.701847702832 0.2259 2.54591 5.237049699582628e+43 20.35077
341.36823645749 -5.3521796115823 0.3996 2.01148 6.741565320182371e+44 20.17966
342.47998715852 -19.339741200767 1.36185 2.53076 1.6065019780411454e+45 20.51693
179.97364891982 3.3460333703793 0.7258 1.88065 2.354322064646199e+43 20.34846
179.95225926328 3.2966506301971 0.43524 2.1499 2.5441288105327334e+44 20.31853
268.30761435603 67.996455297451 1.0257 2.14707 1.0183292239481762e+44 20.51924
35.861751230525 -0.72466008261498 0.7758 2.0865 7.875472886199526e+43 20.34789
130.21452990881 19.826173841048 1.43838 1.68727 4.1753623887388574e+44 20.81741
130.32451301241 19.844497210806 1.77051 1.93909 1.4070903554390841e+45 20.68261
130.36617384682 19.883243113951 0.2259 1.79425 1.2812583106282442e+43 20.54628
187.2896280592 7.7605797469368 0.9257 2.5756 1.9792679323322753e+44 23.20557
238.98191969304 11.386495148602 2.45968 1.10796 4.2636182336941853e+45 21.0416
74.855675099957 8.8698696032022 0.6258 4.19493 1.7815978694135705e+43 21.45478
74.69226080174 8.6119250934595 2.2254 1.98793 6.414244493000687e+44 21.67057
34.038651497962 39.865458753011 1.6255 2.63119 1.7345842865330006e+45 20.62466
33.950113837457 39.858748744996 1.2756 2.4859 9.489041581475096e+43 20.52831
34.160307412569 39.631294219103 0.3259 3.05719 1.7596693250156787e+42 21.14813
34.345405474452 39.70517309191 0.7757 0.17931 5.409275493808493e+43 20.55276
34.329140148103 39.651786317214 0.5758 2.2532 8.675858277578966e+43 20.25331
34.193038142497 39.486279076679 1.8255 2.02365 1.0777033715225497e+43 20.12303
23.575725117946 0.26020332506737 1.4256 2.37309 3.1753263173965014e+44 20.1478
20.757285559722 0.0565249966860261 0.8258 2.39076 9.250592889226423e+43 20.5729
21.962184699088 -0.22944580225582 2.57808 2.59349 5.492541747237603e+44 20.65916
21.708017639122 -0.25100423703769 0.7258 1.56215 8.769319085151533e+43 20.5093
16.325473063234 0.26246123819245 0.8758 2.00706 4.3829655458784e+44 20.35421
180.08521163362 -20.025944864774 1.91684 1.48419 1.0945381484214458e+45 21.54403
191.76263469213 2.2974538658152 0.176 2.0849 9.228995877999654e+42 20.95879
170.54920554023 43.280333343038 1.6255 3.52675 1.2096936692285811e+45 21.40333
239.93961751556 34.957039378332 0.6758 2.06585 6.906659924534628e+43 21.02849
150.54915823582 3.5837540656887 0.8258 2.24178 8.744793700549603e+44 20.56987
31.553309687535 -6.0005960002312 1.8255 2.73122 1.1710872198536994e+44 21.75935
31.628932536265 -6.2129816945836 0.3759 2.28627 1.929394938908565e+43 20.60502
31.499265857847 -6.3456523138673 0.5758 1.66691 4.2357707701490546e+43 21.14284
208.81889421357 56.212547102896 0.2259 2.966 2.756047481495213e+43 20.00502
187.1204659536 12.563038044402 1.2257 0.45044 4.2146330773870895e+44 21.45947
187.27481536061 12.682561084712 1.0757 2.32234 1.819594369778908e+44 20.39309
116.71137933881 50.098089167578 0.7258 2.75175 8.90893669283038e+44 20.62892
117.19686250207 50.222197893029 0.8258 1.71494 1.5604848923235338e+45 21.89876
173.3657553957 27.794607493666 0.7758 2.13751 2.1588210329010958e+44 21.05813
174.93540272779 3.0486427592935 0.6258 1.96343 9.682325634135632e+43 21.42085
174.99922448091 2.9925934926897 1.2756 1.79127 7.277167139108892e+44 20.71238
215.61033268864 1.6837603173073 0.4259 1.87635 1.9652327535824194e+43 21.73906
10.299666989737 -9.2022215289445 1.2256 5.47108 2.3075551173059205e+44 20.54726
351.5325125942 -12.129488459339 0.6758 2.03218 1.3804417080736167e+44 20.88885
351.33193845233 -12.048174296602 0.5758 2.08375 1.0210627884659889e+44 21.09896
15.632827017634 -21.916277383285 0.6258 1.80665 7.512416963171839e+43 20.84131
