RA Dec redshift phot_index luminosity nh_values flag
213.43331895918 53.118753972453 0.92298 1.24434 6.856130161323681e+44 22.04046 1
246.97039769017 39.936218268853 0.4759 2.30231 6.843886635150765e+43 21.28331 1
180.85666073228 44.280699023524 1.3256 1.99382 3.1456307865075787e+44 21.18461 1
180.53226349082 44.364283057689 1.8255 1.99498 1.8387354176694398e+45 21.03182 1
329.71059054061 18.175258789668 1.3756 2.05439 6.6735577752094624e+44 20.71669 0
165.09928199962 10.500004380129 2.77138 1.85007 1.0992189370944498e+45 21.96597 1
165.20656987139 10.42518152588 0.7258 2.40194 4.81300012367218e+43 21.56477 0
165.32476754277 10.535106917197 0.08767 1.13317 3.940033683274641e+42 23.22204 1
165.11940400619 10.438821986391 2.2663 1.76712 1.4052162528924583e+45 20.77563 1
165.30264657113 10.736781572757 0.126 2.02887 4.1893241679549756e+42 20.08112 1
162.88032334756 32.808062890057 1.3756 1.42389 1.1601587628065325e+44 21.35537 1
212.97609487093 53.188707054611 0.58165 1.87869 3.693563554666023e+44 20.24915 1
341.36823645749 -5.3521796115823 0.2759 2.01148 3.2959200106357746e+43 20.17966 1
268.30761435603 67.996455297451 1.4755 2.14707 3.461818504157569e+45 20.51924 1
35.861751230525 -0.72466008261498 1.2257 2.0865 7.17265217937916e+44 20.34789 0
130.32451301241 19.844497210806 1.87873 1.93909 5.979154467930989e+44 20.68261 0
130.36617384682 19.883243113951 2.1754 1.79425 8.09173749384353e+44 20.54628 1
74.69226080174 8.6119250934595 1.5255 1.98793 1.4630534462992062e+44 21.67057 1
34.038651497962 39.865458753011 1.6754 2.63119 3.05800789778384e+45 20.62466 0
34.329140148103 39.651786317214 0.2259 2.2532 5.237049699582628e+43 20.25331 1
34.193038142497 39.486279076679 0.3259 2.02365 1.605170107299929e+44 20.12303 1
23.575725117946 0.26020332506737 0.3996 2.37309 6.741565320182371e+44 20.1478 0
31.628932536265 -6.2129816945836 1.43838 2.28627 4.1753623887388574e+44 20.60502 0
215.61033268864 1.6837603173073 1.6255 1.87635 1.7345842865330006e+45 21.73906 1
351.33193845233 -12.048174296602 0.7757 2.08375 5.409275493808493e+43 21.09896 1
15.632827017634 -21.916277383285 0.5758 1.80665 8.675858277578966e+43 20.84131 1
181.1103275171 1.7428398027011 1.4256 2.34734 3.1753263173965014e+44 21.02239 1
180.93912863228 1.9266522553701 2.57808 2.619 5.492541747237603e+44 21.91629 0
181.10292269068 1.6935616006045 0.8758 1.93252 4.3829655458784e+44 23.11124 1
181.15141673441 2.0844207042391 1.91684 1.84695 1.0945381484214458e+45 21.82918 0
180.94100627455 1.7854315344434 0.176 2.26362 9.228995877999654e+42 20.48131 1
220.8688032634 6.4712681372148 1.6255 1.70144 1.2096936692285811e+45 21.55561 1
262.89850850871 22.882250254704 1.7755 1.92311 7.43560696107339e+44 21.18804 1
213.85975382672 23.183059057092 0.8258 1.92513 8.744793700549603e+44 20.21222 1
36.676073903071 20.416361478357 0.8258 1.80179 1.5604848923235338e+45 20.25248 1
12.295837844769 -24.516341694785 1.2756 1.45352 7.277167139108892e+44 20.62831 1
204.91081969496 15.101569945962 2.2254 1.93722 9.34061582219158e+44 20.9915 1
205.02444358579 15.383172404998 0.5758 2.36916 1.6793547580735514e+43 21.02173 1
204.85106656982 15.293221889887 0.7258 1.87718 9.985409337205632e+43 20.39365 1
31.557899083201 -6.4812355232123 0.43252 2.76096 3.665068631966007e+43 20.60978 0
33.379950092504 -6.1580909257301 1.39903 2.22047 8.664183531074143e+44 20.7449 0
87.192487037425 -21.837552455591 1.2256 1.843 4.16123347205509e+44 21.3047 1
69.661346674093 -22.139896973634 1.1756 1.79304 6.250484773011932e+44 21.20035 1
191.36263055426 -12.084441649272 0.6258 3.3848 6.209829621728685e+44 20.91823 1
231.86957080116 65.802743229808 0.3759 2.74655 6.98491515203549e+44 20.51758 1
23.432116140359 -29.418183604908 1.4255 2.061 7.786872991657861e+44 20.58426 1
12.514768830663 40.365408535191 1.5756 1.90562 2.0434210720083426e+45 20.64485 1
351.79478997223 0.28438408143892 0.34794 2.29794 1.0556084286693355e+44 20.09488 1
36.679995753289 0.442170948298 0.5259 2.25455 1.550863981186005e+43 20.87644 1
